week_end,pruid,prename,prfname,numtotal_atleast1dose,numtotal_partially,numtotal_fully,proptotal_atleast1dose,proptotal_partially,proptotal_fully,numeligible_atleast1dose,numeligible_partially,numeligible_fully,propeligible_atleast1dose,propeligible_partially,propeligible_fully,numweekdelta_atleast1dose,numweekdelta_fully,propweekdelta_atleast1dose,propweekdelta_fully
2020-12-19,1,Canada,Canada,12362,12362,0,0.07,0.07,0.00,,,,,,,,,,
2020-12-19,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,972,972,0,0.19,0.19,0.00,,,,,,,,,,
2020-12-19,12,Nova Scotia,Nouvelle-Écosse,1092,1092,0,0.11,0.11,0.00,,,,,,,,,,
2020-12-19,24,Quebec,Québec,4728,4728,0,0.06,0.06,0.00,,,,,,,,,,
2020-12-19,46,Manitoba,Manitoba,894,894,0,0.06,0.06,0.00,,,,,,,,,,
2020-12-19,47,Saskatchewan,Saskatchewan,1042,1042,0,0.09,0.09,0.00,,,,,,,,,,
2020-12-19,59,British Columbia,Colombie-Britannique,3634,3634,0,0.07,0.07,0.00,,,,,,,,,,
2020-12-19,60,Yukon,Yukon,0,0,0,0.00,0.00,0.00,,,,,,,,,,
2020-12-19,61,Northwest Territories,Territoires du Nord-Ouest,0,0,0,0.00,0.00,0.00,,,,,,,,,,
2020-12-19,62,Nunavut,Nunavut,0,0,0,0.00,0.00,0.00,,,,,,,,,,
2020-12-26,1,Canada,Canada,46156,46156,0,0.20,0.20,0.00,,,,,,,,,,
2020-12-26,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,1785,1785,0,0.34,0.34,0.00,,,,,,,,,,
2020-12-26,11,Prince Edward Island,Île-du-Prince-Édouard,1146,1146,0,0.72,0.72,0.00,,,,,,,,,,
2020-12-26,12,Nova Scotia,Nouvelle-Écosse,2218,2218,0,0.23,0.23,0.00,,,,,,,,,,
2020-12-26,13,New Brunswick,Nouveau-Brunswick,2606,2606,0,0.33,0.33,0.00,,,,,,,,,,
2020-12-26,24,Quebec,Québec,17216,17216,0,0.20,0.20,0.00,,,,,,,,,,
2020-12-26,46,Manitoba,Manitoba,2177,2177,0,0.16,0.16,0.00,,,,,,,,,,
2020-12-26,47,Saskatchewan,Saskatchewan,1769,1769,0,0.15,0.15,0.00,,,,,,,,,,
2020-12-26,48,Alberta,Alberta,4792,4792,0,0.11,0.11,0.00,,,,,,,,,,
2020-12-26,59,British Columbia,Colombie-Britannique,12447,12447,0,0.24,0.24,0.00,,,,,,,,,,
2020-12-26,60,Yukon,Yukon,0,0,0,0.00,0.00,0.00,,,,,,,,,,
2020-12-26,61,Northwest Territories,Territoires du Nord-Ouest,0,0,0,0.00,0.00,0.00,,,,,,,,,,
2020-12-26,62,Nunavut,Nunavut,0,0,0,0.00,0.00,0.00,,,,,,,,,,
2021-01-02,1,Canada,Canada,82512,82512,0,0.35,0.35,0.00,,,,,,,,,,
2021-01-02,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,1785,1785,0,0.34,0.34,0.00,,,,,,,,,,
2021-01-02,11,Prince Edward Island,Île-du-Prince-Édouard,1669,1669,0,1.05,1.05,0.00,,,,,,,,,,
2021-01-02,12,Nova Scotia,Nouvelle-Écosse,2720,2720,0,0.28,0.28,0.00,,,,,,,,,,
2021-01-02,13,New Brunswick,Nouveau-Brunswick,2886,2886,0,0.37,0.37,0.00,,,,,,,,,,
2021-01-02,24,Quebec,Québec,28305,28305,,0.33,0.33,,,,,,,,,,,
2021-01-02,46,Manitoba,Manitoba,3432,3432,0,0.25,0.25,0.00,,,,,,,,,,
2021-01-02,47,Saskatchewan,Saskatchewan,3540,3540,0,0.30,0.30,0.00,,,,,,,,,,
2021-01-02,48,Alberta,Alberta,13383,13383,0,0.30,0.30,0.00,,,,,,,,,,
2021-01-02,59,British Columbia,Colombie-Britannique,24670,24670,0,0.48,0.48,0.00,,,,,,,,,,
2021-01-02,60,Yukon,Yukon,0,0,0,0.00,0.00,0.00,,,,,,,,,,
2021-01-02,61,Northwest Territories,Territoires du Nord-Ouest,122,122,0,0.27,0.27,0.00,,,,,,,,,,
2021-01-02,62,Nunavut,Nunavut,0,0,0,0.00,0.00,0.00,,,,,,,,,,
2021-01-09,1,Canada,Canada,217345,212824,4521,0.93,0.91,0.02,,,,,,,,,,
2021-01-09,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2847,1994,853,0.55,0.38,0.16,,,,,,,,,,
2021-01-09,11,Prince Edward Island,Île-du-Prince-Édouard,2475,2475,0,1.51,1.51,0.00,,,,,,,,,,
2021-01-09,12,Nova Scotia,Nouvelle-Écosse,2755,1679,1076,0.28,0.17,0.11,,,,,,,,,,
2021-01-09,13,New Brunswick,Nouveau-Brunswick,6241,6241,0,0.79,0.79,0.00,,,,,,,,,,
2021-01-09,24,Quebec,Québec,83278,83278,,0.97,0.97,,,,,,,,,,,
2021-01-09,46,Manitoba,Manitoba,8694,7814,880,0.63,0.56,0.06,,,,,,,,,,
2021-01-09,47,Saskatchewan,Saskatchewan,5516,4563,953,0.47,0.39,0.08,,,,,,,,,,
2021-01-09,48,Alberta,Alberta,44298,43574,724,1.00,0.98,0.02,,,,,,,,,,
2021-01-09,59,British Columbia,Colombie-Britannique,60215,60180,35,1.15,1.15,0.00,,,,,,,,,,
2021-01-09,60,Yukon,Yukon,495,495,0,1.15,1.15,0.00,,,,,,,,,,
2021-01-09,61,Northwest Territories,Territoires du Nord-Ouest,511,511,0,1.12,1.12,0.00,,,,,,,,,,
2021-01-09,62,Nunavut,Nunavut,20,20,0,0.05,0.05,0.00,,,,,,,,,,
2021-01-16,1,Canada,Canada,564921,538173,26748,1.48,1.41,0.07,,,,,,,,,,
2021-01-16,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,4250,2516,1734,0.82,0.48,0.33,,,,,,,,,,
2021-01-16,11,Prince Edward Island,Île-du-Prince-Édouard,4293,2906,1387,2.61,1.77,0.84,,,,,,,,,,
2021-01-16,12,Nova Scotia,Nouvelle-Écosse,5740,3533,2207,0.58,0.36,0.22,,,,,,,,,,
2021-01-16,13,New Brunswick,Nouveau-Brunswick,7918,5353,2565,1.00,0.68,0.33,,,,,,,,,,
2021-01-16,24,Quebec,Québec,145783,145783,,1.69,1.69,,,,,,,,,,,
2021-01-16,35,Ontario,Ontario,189240,178383,10857,1.28,1.20,0.07,,,,,,,,,,
2021-01-16,46,Manitoba,Manitoba,16499,14355,2144,1.19,1.04,0.15,,,,,,,,,,
2021-01-16,47,Saskatchewan,Saskatchewan,14283,12551,1732,1.21,1.06,0.15,,,,,,,,,,
2021-01-16,48,Alberta,Alberta,81859,77784,4075,1.84,1.75,0.09,,,,,,,,,,
2021-01-16,59,British Columbia,Colombie-Britannique,89715,89668,47,1.72,1.72,0.00,,,,,,,,,,
2021-01-16,60,Yukon,Yukon,1309,1309,0,3.05,3.05,0.00,,,,,,,,,,
2021-01-16,61,Northwest Territories,Territoires du Nord-Ouest,1891,1891,0,4.16,4.16,0.00,,,,,,,,,,
